topology,trial,behavior,fraction,strategy,t10,t50,reached_10,reached_50,peak_infected,final_size,active_spreader_auc,unique_exposed_fraction,attempted_exposures,repeat_exposures,successful_transmissions,duration,protected_fraction
ER,6,homogeneous,0.05,degree,5.0,10.0,1.0,1.0,658.0,0.936,18587.0,0.941,6811.0,5870.0,931.0,168.0,0.05
ER,6,homogeneous,0.05,betweenness,6.0,10.0,1.0,1.0,679.0,0.933,18972.0,0.935,6477.0,5542.0,928.0,156.0,0.05
ER,6,homogeneous,0.05,kcore,7.0,11.0,1.0,1.0,657.0,0.94,17905.0,0.941,6815.0,5874.0,935.0,119.0,0.05
ER,6,homogeneous,0.05,collective_influence,6.0,11.0,1.0,1.0,656.0,0.936,18191.0,0.941,6714.0,5773.0,931.0,116.0,0.05
ER,6,homogeneous,0.05,community_bridge,7.0,12.0,1.0,1.0,646.0,0.935,18440.0,0.94,6705.0,5765.0,930.0,234.0,0.05
ER,6,moderate,0.05,random,6.0,10.0,1.0,1.0,699.0,0.94,18772.0,0.942,7786.0,6844.0,935.0,146.0,0.05
ER,6,moderate,0.05,degree,7.0,11.0,1.0,1.0,630.0,0.933,16924.0,0.941,7026.0,6085.0,928.0,114.0,0.05
ER,6,moderate,0.05,betweenness,7.0,11.0,1.0,1.0,664.0,0.929,19156.0,0.935,7743.0,6808.0,924.0,165.0,0.05
ER,6,moderate,0.05,kcore,6.0,11.0,1.0,1.0,658.0,0.93,17889.0,0.941,7551.0,6610.0,925.0,175.0,0.05
ER,6,moderate,0.05,collective_influence,6.0,11.0,1.0,1.0,661.0,0.934,18556.0,0.941,7046.0,6105.0,929.0,157.0,0.05
ER,6,moderate,0.05,community_bridge,5.0,9.0,1.0,1.0,650.0,0.936,19061.0,0.94,7056.0,6116.0,931.0,146.0,0.05
